,video_id,category,duration,made_for_kids
940,dtr2blrf7pk,Comedy,0:00:37,False
941,jGTlCiT18Oo,People & Blogs,0:00:33,True
942,Pu6SKdw57UI,People & Blogs,0:00:48,False
943,hSmtozlreiQ,Comedy,0:00:17,False
944,lK6Ex_ofPSE,Entertainment,0:00:19,False
945,L_ko4j_aXY4,Gaming,0:00:59,False
946,-BfcftQUCRI,Entertainment,0:00:22,False
947,eKZG1pMxko4,People & Blogs,0:00:33,False
948,z50Ai6do4Mw,Entertainment,0:00:20,False
949,RI5LS7p91RI,People & Blogs,0:00:56,False
950,a882MfbEkZw,Howto & Style,0:01:00,False
951,OfMpTdr3za8,People & Blogs,0:01:01,False
952,R6_3P5wr_fU,Entertainment,0:00:23,False
953,rSJ3q9fwRiQ,Entertainment,0:00:16,False
954,sF23T2tVFkU,Entertainment,0:00:47,False
955,W95EA5pyvKY,Entertainment,0:00:18,False
956,vdRonIAnTiU,People & Blogs,0:00:59,False
957,GchaSL6GGSk,Gaming,0:00:59,False
958,aO-LKgSVGEw,,,
959,c3RxIFIms7k,Entertainment,0:00:35,False
960,B_NKlhsr7EQ,Entertainment,0:00:59,False
961,t3LLdY6DAaE,Gaming,0:00:58,False
962,5WNtFszlmS8,People & Blogs,0:00:58,False
963,gGVM_yn4jFI,People & Blogs,0:00:53,False
964,ps1psFJFmnQ,Entertainment,0:00:54,False
965,3eNrVP0SXTo,People & Blogs,0:00:17,False
966,zClbHAPqTP0,Gaming,0:00:26,False
967,Sx8ENLEhgpA,People & Blogs,0:29:00,False
968,DrPLYOGZmrk,Entertainment,0:00:19,False
969,U2nE90KXj5s,People & Blogs,0:00:56,False
970,ZEwaedhsyr8,Entertainment,0:00:18,False
971,47NqfvZh7n0,Sports,0:00:29,False
972,9LVT9QhKcCM,People & Blogs,0:00:35,False
973,tQ-D1u0O8mE,Music,0:00:11,False
974,l9tOJy-IAvM,Science & Technology,0:01:00,False
975,cFjhE40GNHE,People & Blogs,0:00:33,False
976,QUGQNS2vT8E,Entertainment,0:00:11,False
977,m8FzQXtPk38,Pets & Animals,0:00:25,False
978,SSD6K9Tjm2Y,Gaming,0:00:26,False
979,qebZZnAg-_E,People & Blogs,0:00:43,False
980,GpRLQ-QizQQ,Entertainment,0:00:24,False
981,Ng9YzdF1_oM,Comedy,0:00:25,False
982,7o5yojj0rWc,Music,0:00:16,False
